,q0001,q0002,q0009,q0025,q0026,q0028,q0029,q0030
0,Somewhat masculine,Somewhat important,not_employed,False,not_straight,not_white,college_graduate,northeast
1,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
2,Very masculine,Not too important,employed,True,straight,white,college_graduate,midwest
3,Very masculine,Not too important,not_employed,True,no_answer,white,high_school,midwest
4,Very masculine,Very important,employed,False,straight,white,college_graduate,midwest
5,Very masculine,Somewhat important,employed,True,straight,white,graduate,midwest
6,Somewhat masculine,Not too important,employed,True,not_straight,not_white,graduate,west
7,Somewhat masculine,Somewhat important,not_employed,False,straight,white,college_graduate,northeast
8,Very masculine,Not at all important,employed,True,straight,not_white,high_school,west
9,Somewhat masculine,Somewhat important,employed,False,straight,white,graduate,west
10,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
11,Somewhat masculine,Not too important,not_employed,False,straight,white,high_school,southeast
12,Very masculine,Somewhat important,not_employed,False,straight,white,college_graduate,southeast
13,Very masculine,Very important,employed,True,straight,not_white,high_school,west
14,Not at all masculine,Not at all important,not_employed,False,straight,white,high_school,northeast
15,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
16,Somewhat masculine,Not too important,employed,True,not_straight,white,graduate,midwest
17,Somewhat masculine,Not too important,employed,False,straight,white,college_graduate,midwest
18,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
19,Somewhat masculine,Somewhat important,not_employed,False,straight,not_white,high_school,west
20,Not very masculine,Somewhat important,not_employed,False,straight,not_white,high_school,west
21,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,west
22,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
23,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southwest
24,Very masculine,Not too important,not_employed,False,straight,white,graduate,midwest
25,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
26,Not very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southwest
27,Not at all masculine,Not at all important,not_employed,True,straight,white,high_school,southwest
28,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
29,Not very masculine,Somewhat important,not_employed,False,straight,white,graduate,west
30,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,southwest
31,Somewhat masculine,Somewhat important,not_employed,False,straight,not_white,high_school,northeast
32,Not very masculine,Not too important,not_employed,True,straight,white,no_high_school,west
33,Somewhat masculine,Somewhat important,not_employed,False,straight,white,graduate,west
34,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
35,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,midwest
36,Somewhat masculine,Not too important,employed,True,straight,white,high_school,west
37,Very masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
38,Not very masculine,Not too important,not_employed,True,straight,not_white,high_school,southeast
39,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,west
40,Not very masculine,Not too important,not_employed,False,straight,white,graduate,west
41,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,west
42,Very masculine,Somewhat important,employed,False,straight,white,graduate,southwest
43,Very masculine,Very important,not_employed,True,straight,white,high_school,southwest
44,Somewhat masculine,Not at all important,employed,True,straight,white,high_school,southeast
45,Not very masculine,Not too important,not_employed,True,straight,white,high_school,west
46,Not very masculine,Not too important,employed,True,straight,white,graduate,midwest
47,Very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,west
48,Somewhat masculine,Somewhat important,not_employed,False,straight,white,college_graduate,west
49,Not very masculine,Somewhat important,employed,False,straight,not_white,graduate,southeast
50,Somewhat masculine,Not too important,employed,True,straight,white,graduate,west
51,Very masculine,Somewhat important,not_employed,False,not_straight,white,high_school,midwest
52,Somewhat masculine,Not at all important,not_employed,True,straight,white,college_graduate,west
53,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,west
54,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,northeast
55,Somewhat masculine,Not too important,not_employed,False,straight,white,no_high_school,west
56,Very masculine,Not too important,not_employed,True,straight,white,graduate,west
57,Very masculine,Not too important,not_employed,True,straight,white,college_graduate,west
58,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,west
59,Very masculine,Very important,not_employed,False,straight,white,high_school,midwest
60,Very masculine,Very important,not_employed,True,straight,white,college_graduate,west
61,Very masculine,Not at all important,not_employed,True,straight,white,graduate,west
62,Not very masculine,Somewhat important,not_employed,False,straight,white,high_school,west
63,Not very masculine,Somewhat important,employed,True,straight,white,graduate,southeast
64,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,west
65,Somewhat masculine,Not too important,employed,False,not_straight,white,high_school,southwest
66,Very masculine,Very important,employed,True,straight,white,graduate,west
67,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,northeast
68,Very masculine,Not at all important,not_employed,True,straight,white,high_school,midwest
69,Somewhat masculine,Not too important,not_employed,False,not_straight,white,college_graduate,southeast
70,Somewhat masculine,Somewhat important,employed,True,straight,white,high_school,west
71,Very masculine,Somewhat important,not_employed,True,straight,not_white,graduate,west
72,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
73,Somewhat masculine,Not too important,not_employed,False,not_straight,white,high_school,southwest
74,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,west
75,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southwest
76,Not very masculine,Not at all important,employed,False,straight,not_white,graduate,west
77,Very masculine,Somewhat important,employed,False,straight,white,college_graduate,southwest
78,Very masculine,Not at all important,employed,True,straight,white,graduate,west
79,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
80,Somewhat masculine,Somewhat important,employed,False,not_straight,white,high_school,southwest
81,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,west
82,Somewhat masculine,Very important,not_employed,True,not_straight,white,high_school,west
83,Very masculine,Not too important,not_employed,True,straight,not_white,high_school,northeast
84,Very masculine,Very important,employed,False,straight,white,graduate,southwest
85,Very masculine,Very important,not_employed,True,straight,white,high_school,west
86,Very masculine,Not too important,not_employed,True,straight,white,graduate,northeast
87,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,southeast
88,Very masculine,Somewhat important,not_employed,False,straight,white,college_graduate,northeast
89,Not very masculine,Somewhat important,not_employed,False,not_straight,white,high_school,northeast
90,Somewhat masculine,Not too important,not_employed,False,straight,white,high_school,northeast
